,replacement,config,ipc,instructions,cycles,total_access,total_hit,total_miss,load_access,load_hit,load_miss,rfo_access,rfo_hit,rfo_miss,prefetch_access,prefetch_hit,prefetch_miss,writeback_access,writeback_hit,writeback_miss
113,ship++_leaders_256,config1,1.08224,100000002,92401075,613108,286816,326292,304677,112838,191839,151946,75706,76240,0,0,0,156485,98272,58213
114,ship++_leaders_256,config1,0.235274,100000000,425036375,3244361,1277361,1967000,1932986,501490,1431496,328357,97004,231353,0,0,0,983018,678867,304151
115,ship++_leaders_256,config1,0.463794,100000000,215613057,4478621,1115654,3362967,2621528,715321,1906207,760193,99470,660723,0,0,0,1096900,300863,796037
116,ship++_leaders_256,config1,0.369164,100000001,270882332,4564554,1013185,3551369,3073734,648709,2425025,126461,108177,18284,0,0,0,1364359,256299,1108060
117,ship++_leaders_256,config1,0.446105,100000001,224162589,4917103,241420,4675683,3390381,147211,3243170,24,24,0,0,0,0,1526698,94185,1432513
118,ship++_leaders_256,config1,0.347204,100000003,288015199,4047234,257029,3790205,3006773,159955,2846818,24,20,4,0,0,0,1040437,97054,943383
119,ship++_leaders_256,config1,0.369113,100000001,270919955,2613322,2268625,344697,2495347,2168653,326694,37610,23687,13923,0,0,0,80365,76285,4080
120,ship++_leaders_256,config1,0.491596,100000000,203419123,373285,146303,226982,144395,57608,86787,71290,15368,55922,0,0,0,157600,73327,84273
121,ship++_leaders_256,config1,0.397113,100000001,251817625,2499630,1055841,1443789,2299664,856697,1442967,0,0,0,0,0,0,199966,199144,822
122,ship++_leaders_256,config1,0.453605,100000003,220456340,1769070,1052995,716075,1739415,1036558,702857,12908,2885,10023,0,0,0,16747,13552,3195
123,ship++_leaders_256,config1,0.552211,100000003,181090182,6027264,1600981,4426283,843451,175,843276,2591800,483872,2107928,0,0,0,2592013,1116934,1475079
124,ship++_leaders_256,config1,0.429595,100000003,232777332,1058894,123877,935017,632847,49656,583191,201034,772,200262,0,0,0,225013,73449,151564
125,ship++_leaders_256,config1,0.394462,100000000,253509751,411672,390272,21400,296217,280533,15684,32929,27711,5218,0,0,0,82526,82028,498
126,ship++_leaders_256,config1,0.733304,100000003,136369023,21200174,21146029,54145,194764,150667,44097,10471722,10461785,9937,0,0,0,10533688,10533577,111
127,ship++_leaders_256,config1,0.495744,100000000,201716936,3679353,1365087,2314266,2465969,864690,1601279,467662,175624,292038,0,0,0,745722,324773,420949
128,ship++_leaders_256,config1,0.828611,100000000,120683900,1432058,1207371,224687,1067507,933688,133819,180726,105180,75546,0,0,0,183825,168503,15322
129,ship++_leaders_256,config1,0.414941,100000003,240998315,1165598,357327,808271,633144,154938,478206,265372,74984,190388,0,0,0,267082,127405,139677
130,ship++_leaders_256,config1,0.381474,100000001,262141130,3801525,111615,3689910,2789401,95672,2693729,20,20,0,0,0,0,1012104,15923,996181
131,ship++_leaders_256,config1,0.428025,100000003,233631190,1105151,338848,766303,614443,166110,448333,245232,61060,184172,0,0,0,245476,111678,133798
132,ship++_leaders_256,config1,0.395915,100000003,252579493,405078,381474,23604,285436,267562,17874,34070,28767,5303,0,0,0,85572,85145,427
133,ship++_leaders_256,config1,0.433395,100000003,230736406,2675520,51387,2624133,1680645,8926,1671719,136848,6823,130025,0,0,0,858027,35638,822389
134,ship++_leaders_256,config1,0.504135,100000002,198359474,3572710,845965,2726745,2180504,511470,1669034,629151,131459,497692,0,0,0,763055,203036,560019
135,ship++_leaders_256,config1,0.233398,100000001,428452377,1984532,231866,1752666,1160609,78355,1082254,340557,28311,312246,0,0,0,483366,125200,358166
136,ship++_leaders_256,config1,0.615654,100000000,162428946,1575107,843295,731812,1332843,640853,691990,103774,79032,24742,0,0,0,138490,123410,15080
137,ship++_leaders_256,config1,0.129045,100000001,774926179,6966722,2543543,4423179,2413979,573673,1840306,1812774,686586,1126188,0,0,0,2739969,1283284,1456685
138,ship++_leaders_256,config1,0.747025,100000003,133864259,1134850,1002792,132058,519853,460591,59262,292425,223862,68563,0,0,0,322572,318339,4233
139,ship++_leaders_256,config1,0.115509,100000001,865735550,11193205,5102153,6091052,8987770,3654666,5333104,195602,125625,69977,0,0,0,2009833,1321862,687971
140,ship++_leaders_256,config1,1.02745,100000001,97328308,381989,15950,366039,315489,7008,308481,3447,1,3446,0,0,0,63053,8941,54112
141,ship++_leaders_256,config1,0.281114,100000003,355727826,7006975,3450610,3556365,4052505,1660482,2392023,856724,286280,570444,0,0,0,2097746,1503848,593898
142,ship++_leaders_256,config1,1.45673,100000003,68646750,1133161,1028279,104882,790337,728727,61610,47630,17245,30385,0,0,0,295194,282307,12887
143,ship++_leaders_256,config1,0.43987,100000003,227340099,2838711,64771,2773940,1956031,11229,1944802,140009,0,140009,0,0,0,742671,53542,689129
144,ship++_leaders_256,config1,0.316489,100000000,315966965,2825480,2582552,242928,2094626,1859719,234907,16394,16021,373,0,0,0,714460,706812,7648
145,ship++_leaders_256,config1,0.0843424,100000000,1185643402,14619505,7799105,6820400,14276902,7557833,6719069,25871,16787,9084,0,0,0,316732,224485,92247
146,ship++_leaders_256,config1,0.601041,100000000,166378034,1490752,470749,1020003,835381,195636,639745,219225,45135,174090,0,0,0,436146,229978,206168
147,ship++_leaders_256,config1,0.322358,100000002,310213754,5290155,2740305,2549850,3127299,1371530,1755769,652039,249312,402727,0,0,0,1510817,1119463,391354
148,ship++_leaders_256,config1,2.07426,100000001,48209981,1896,9,1887,1706,0,1706,181,0,181,0,0,0,9,9,0
149,ship++_leaders_256,config1,0.55323,100000000,180756818,119555,20484,99071,80540,2920,77620,1075,170,905,0,0,0,37940,17394,20546
150,ship++_leaders_256,config1,0.815209,100000002,122667920,991022,701936,289086,696690,505026,191664,102176,41234,60942,0,0,0,192156,155676,36480
151,ship++_leaders_256,config1,1.50633,100000003,66386703,827374,653168,174206,730855,557432,173423,414,391,23,0,0,0,96105,95345,760
